title,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,5,11,78
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,-5,36,29,236,6,4,78
Starving,Hailee Steinfeld,dance pop,2016,100,62,73,-4,11,51,182,39,6,78
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77,-4,11,80,246,3,9,77
Electric Love,BØRNS,electropop,2016,120,80,61,-8,26,52,218,2,5,76
Confident,Demi Lovato,dance pop,2016,130,75,59,-6,9,34,206,1,7,75
Too Good,Drake,canadian hip hop,2016,118,65,79,-8,10,39,263,6,10,74
Roses,The Chainsmokers,electropop,2016,100,80,71,-7,31,34,227,5,6,74
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,80,61,-5,16,50,185,8,4,73
Me Too,Meghan Trainor,dance pop,2016,124,69,93,-6,48,84,181,11,10,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,75,-4,23,75,166,5,7,73
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,76,-6,7,82,218,6,23,72
Close,Nick Jonas,dance pop,2016,124,62,65,-5,14,40,234,26,8,72
Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,59,8,87
Closer,The Chainsmokers,electropop,2017,95,52,75,-6,11,66,245,42,3,86
Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,-7,14,49,230,15,28,85
Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,12,34,84
That's What I Like,Bruno Mars,pop,2017,134,56,85,-5,9,86,207,2,4,83
Let Me Love You,DJ Snake,electronic trap,2017,100,72,65,-5,14,16,206,10,3,82
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77,-6,7,59,269,44,12,81
Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,14,8,81
Side To Side,Ariana Grande,dance pop,2017,159,74,65,-6,24,61,226,6,23,80
Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,26,6,80
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,13,7,79
Malibu,Miley Cyrus,dance pop,2017,140,78,57,-6,8,34,232,9,6,78
Something Just Like This,The Chainsmokers,electropop,2017,103,65,61,-7,17,51,248,4,4,78
